c10_equiv_abs,c10_imping_rate,c10_mc_hits,c11_equiv_abs,c11_imping_rate,c11_mc_hits,c12_equiv_abs,c12_imping_rate,c12_mc_hits,c13_equiv_abs,c13_imping_rate,c13_mc_hits,c14_equiv_abs,c14_imping_rate,c14_mc_hits,c15_equiv_abs,c15_imping_rate,c15_mc_hits,c16_equiv_abs,c16_imping_rate,c16_mc_hits,c17_equiv_abs,c17_imping_rate,c17_mc_hits,c18_equiv_abs,c18_imping_rate,c18_mc_hits,c19_equiv_abs,c19_imping_rate,c19_mc_hits,c1_equiv_abs,c1_imping_rate,c1_mc_hits,c20_equiv_abs,c20_imping_rate,c20_mc_hits,c21_equiv_abs,c21_imping_rate,c21_mc_hits,c22_equiv_abs,c22_imping_rate,c22_mc_hits,c23_equiv_abs,c23_imping_rate,c23_mc_hits,c24_equiv_abs,c24_imping_rate,c24_mc_hits,c25_equiv_abs,c25_imping_rate,c25_mc_hits,c26_equiv_abs,c26_imping_rate,c26_mc_hits,c27_equiv_abs,c27_imping_rate,c27_mc_hits,c28_equiv_abs,c28_imping_rate,c28_mc_hits,c29_equiv_abs,c29_imping_rate,c29_mc_hits,c2_equiv_abs,c2_imping_rate,c2_mc_hits,c30_equiv_abs,c30_imping_rate,c30_mc_hits,c31_equiv_abs,c31_imping_rate,c31_mc_hits,c32_equiv_abs,c32_imping_rate,c32_mc_hits,c33_equiv_abs,c33_imping_rate,c33_mc_hits,c34_equiv_abs,c34_imping_rate,c34_mc_hits,c35_equiv_abs,c35_imping_rate,c35_mc_hits,c36_equiv_abs,c36_imping_rate,c36_mc_hits,c3_equiv_abs,c3_imping_rate,c3_mc_hits,c4_equiv_abs,c4_imping_rate,c4_mc_hits,c5_equiv_abs,c5_imping_rate,c5_mc_hits,c6_equiv_abs,c6_imping_rate,c6_mc_hits,c7_equiv_abs,c7_imping_rate,c7_mc_hits,c8_equiv_abs,c8_imping_rate,c8_mc_hits,c9_equiv_abs,c9_imping_rate,c9_mc_hits,cback_equiv_abs,cback_imping_rate,cback_mc_hits,cfront_equiv_abs,cfront_imping_rate,cfront_mc_hits,deflector_equiv_abs,deflector_imping_rate,deflector_mc_hits,plate_back_equiv_abs,plate_back_imping_rate,plate_back_mc_hits,plate_front_equiv_abs,plate_front_imping_rate,plate_front_mc_hits,total_des,error
0.0,4.465597297296362e+18,3697.0,0.0,4.716839990787742e+18,3905.0,0.0,4.609337107514988e+18,3816.0,0.0,4.815887591106464e+18,3987.0,0.0,4.71321629809316e+18,3902.0,0.0,4.660068805239216e+18,3858.0,0.0,4.812263898411876e+18,3984.0,0.0,4.800184922763254e+18,3974.0,0.0,4.812263898411876e+18,3984.0,0.0,4.887153547433349e+18,4046.0,0.0,4.650405624720307e+18,3850.0,0.0,4.778442766595728e+18,3956.0,0.0,4.649197727155456e+18,3849.0,0.0,4.757908507993065e+18,3939.0,0.0,4.602089722125807e+18,3810.0,0.0,4.809848103282152e+18,3982.0,0.0,4.689058346795909e+18,3882.0,0.0,4.726503171306646e+18,3913.0,0.0,4.62383187829334e+18,3828.0,0.0,4.681810961406738e+18,3876.0,0.0,4.756700610428205e+18,3938.0,0.0,4.622623980728473e+18,3827.0,0.0,4.5598133073556316e+18,3775.0,0.0,4.76877958607683e+18,3948.0,0.0,4.738582146955269e+18,3923.0,0.0,4.724087376176922e+18,3911.0,0.0,4.625039775858205e+18,3829.0,0.0,4.681810961406736e+18,3876.0,0.0,4.709592605398449e+18,3899.0,0.0,4.5525659219664563e+18,3769.0,0.0,4.683018858971589e+18,3877.0,0.0,4.62745557098792e+18,3831.0,0.0,4.603297619690678e+18,3811.0,0.0,4.4994184291125023e+18,3725.0,0.0,4.458349911907183e+18,3691.0,0.0,4.724087376176911e+18,3911.0,0.0,6.494687864686841e+18,14147.0,0.0,1.1282206299129014e+19,143232.0,0.0,7.616379991378016e+18,302739.0,9168.0,5.284078413977909e+18,11510.0,43695.0,2.5071138685121434e+19,54611.0,100000.0,
0.0,3.987269861610844e+18,3301.0,0.0,4.1273859791348813e+18,3417.0,0.0,3.9377460614514836e+18,3260.0,0.0,4.0138436080378173e+18,3323.0,0.0,3.928082880932588e+18,3252.0,0.0,4.139464954783513e+18,3427.0,0.0,4.1322175693943347e+18,3421.0,0.0,4.0186751982972687e+18,3327.0,0.0,3.998140939694606e+18,3310.0,0.0,3.9703592957027727e+18,3287.0,0.0,4.030754173945887e+18,3337.0,0.0,3.9051328272001997e+18,3233.0,0.0,4.056120022808007e+18,3358.0,0.0,4.1370491596537825e+18,3425.0,0.0,4.1334254669591895e+18,3422.0,0.0,4.1237622864402985e+18,3414.0,0.0,4.0839016667998377e+18,3381.0,0.0,4.127385979134886e+18,3417.0,0.0,4.076654281410664e+18,3375.0,0.0,4.1237622864403e+18,3414.0,0.0,4.0452489447242404e+18,3349.0,0.0,4.0754463838457974e+18,3374.0,0.0,4.036793661770204e+18,3342.0,0.0,3.994517247000019e+18,3307.0,0.0,3.9594882176190085e+18,3278.0,0.0,4.0778621789755274e+18,3376.0,0.0,3.9727750908324977e+18,3289.0,0.0,4.1382570572186476e+18,3426.0,0.0,3.899093339375787e+18,3228.0,0.0,3.942577651710935e+18,3264.0,0.0,4.0706147935863434e+18,3370.0,0.0,4.0694068960214835e+18,3369.0,0.0,4.1358412620889216e+18,3424.0,0.0,3.9570724224892774e+18,3276.0,0.0,3.972775090832491e+18,3289.0,0.0,4.046456842289095e+18,3350.0,0.0,5.569170741960562e+18,12131.0,0.0,6.478021170176143e+18,82241.0,0.0,7.315135242545655e+18,290765.0,8423.0,4.856669464941121e+18,10579.0,42487.0,2.441602314239802e+19,53184.0,100000.0,
0.0,3.4050632353471585e+18,2819.0,0.0,3.541555660176609e+18,2932.0,0.0,3.5041108356658755e+18,2901.0,0.0,3.377281591355323e+18,2796.0,0.0,3.5886636652062484e+18,2971.0,0.0,3.4207659036903736e+18,2832.0,0.0,3.5113582210550513e+18,2907.0,0.0,3.4606265233308314e+18,2865.0,0.0,3.489616064887528e+18,2889.0,0.0,3.377281591355325e+18,2796.0,0.0,3.495655552711836e+18,2894.0,0.0,3.5004871429712896e+18,2898.0,0.0,3.6321479775412977e+18,3007.0,0.0,3.5777925871224827e+18,2962.0,0.0,3.482368679498347e+18,2883.0,0.0,3.569337304168448e+18,2955.0,0.0,3.4219738012552325e+18,2833.0,0.0,3.5355161723523005e+18,2927.0,0.0,3.426805391514683e+18,2837.0,0.0,3.4340527769038587e+18,2843.0,0.0,3.504110835665877e+18,2901.0,0.0,3.444923854987615e+18,2852.0,0.0,3.551218840695512e+18,2940.0,0.0,3.477537089238904e+18,2879.0,0.0,3.5717530992981724e+18,2957.0,0.0,3.4932397575821164e+18,2892.0,0.0,3.44975544524707e+18,2856.0,0.0,3.399023747522847e+18,2814.0,0.0,3.466666011155052e+18,2870.0,0.0,3.518605606444226e+18,2913.0,0.0,3.4872002697577964e+18,2887.0,0.0,3.5210214015739464e+18,2915.0,0.0,3.4884081673226655e+18,2888.0,0.0,3.498071347841559e+18,2896.0,0.0,3.4231816988200914e+18,2834.0,0.0,3.4872002697577964e+18,2887.0,0.0,4.713434672138248e+18,10267.0,0.0,5.335165305606333e+18,67732.0,0.0,7.081062990738715e+18,281461.0,7219.0,4.1271820105700613e+18,8990.0,42297.0,2.4331551341514273e+19,53000.0,100000.0,
0.0,3.0813466879640305e+18,2551.0,0.0,3.1538205418557727e+18,2611.0,0.0,3.043901863453294e+18,2520.0,0.0,3.0885940733532047e+18,2557.0,0.0,3.095841458742381e+18,2563.0,0.0,3.034238682934399e+18,2512.0,0.0,3.1187915124747653e+18,2582.0,0.0,3.161067927244951e+18,2617.0,0.0,3.08617827822348e+18,2555.0,0.0,3.11033622952073e+18,2575.0,0.0,3.081346687964027e+18,2551.0,0.0,3.005249141377698e+18,2488.0,0.0,3.0281991951100877e+18,2507.0,0.0,3.1018809465666903e+18,2568.0,0.0,3.091009868482924e+18,2559.0,0.0,2.969012214431826e+18,2458.0,0.0,3.0571887366667817e+18,2531.0,0.0,3.0281991951100846e+18,2507.0,0.0,3.035446580499259e+18,2513.0,0.0,3.129662590558529e+18,2591.0,0.0,2.958141136348064e+18,2449.0,0.0,3.133286283253112e+18,2594.0,0.0,2.975051702256138e+18,2463.0,0.0,3.023367604850634e+18,2503.0,0.0,3.1139599222153155e+18,2578.0,0.0,3.2601155275636695e+18,2699.0,0.0,3.052357146407334e+18,2527.0,0.0,3.029407092674947e+18,2508.0,0.0,3.1284546929935836e+18,2590.0,0.0,2.9907543705993487e+18,2476.0,0.0,3.0680598147505377e+18,2540.0,0.0,3.0837624830937513e+18,2553.0,0.0,2.9895464730344863e+18,2475.0,0.0,3.129662590558522e+18,2591.0,0.0,3.2238786006177925e+18,2669.0,0.0,3.1562363369854945e+18,2613.0,0.0,4.202931179840816e+18,9155.0,0.0,4.443266694087694e+18,56409.0,0.0,6.89660278542396e+18,274129.0,6005.0,3.449112174128239e+18,7513.0,41745.0,2.4002845855466643e+19,52284.0,100000.0,
0.0,2.737095881978241e+18,2266.0,0.0,2.7999065553510845e+18,2318.0,0.0,2.7479669600620017e+18,2275.0,0.0,2.7141458282458547e+18,2247.0,0.0,2.8772119995022833e+18,2382.0,0.0,2.8144013261294387e+18,2330.0,0.0,2.7540064478863145e+18,2280.0,0.0,2.8192329163888865e+18,2334.0,0.0,2.7238090087647544e+18,2255.0,0.0,2.8228566090834744e+18,2337.0,0.0,2.7672933210997985e+18,2291.0,0.0,2.836143482296959e+18,2348.0,0.0,2.813193428564577e+18,2329.0,0.0,2.6465035646135583e+18,2191.0,0.0,2.769709116229521e+18,2293.0,0.0,2.7081063404215434e+18,2242.0,0.0,2.710522135551268e+18,2244.0,0.0,2.7600459357106273e+18,2285.0,0.0,2.770917013794389e+18,2294.0,0.0,2.7081063404215444e+18,2242.0,0.0,2.7685012186646636e+18,2292.0,0.0,2.691195774513467e+18,2228.0,0.0,2.7286405990242043e+18,2259.0,0.0,2.805946043175399e+18,2323.0,0.0,2.717769520940442e+18,2250.0,0.0,2.762461730840353e+18,2287.0,0.0,2.7129379306809943e+18,2246.0,0.0,2.787827579702463e+18,2308.0,0.0,2.7612538332754176e+18,2286.0,0.0,2.6525430524378716e+18,2196.0,0.0,2.8204408139537423e+18,2335.0,0.0,2.69844315990264e+18,2234.0,0.0,2.760045935710627e+18,2285.0,0.0,2.7443432673674107e+18,2272.0,0.0,2.77816439918356e+18,2300.0,0.0,2.8663409214185144e+18,2373.0,0.0,3.7112502083924803e+18,8084.0,0.0,3.749313963585246e+18,47599.0,0.0,6.847192004840466e+18,272165.0,5167.0,2.946413141695067e+18,6418.0,41324.0,2.374988953868977e+19,51733.0,100000.0,
0.0,4.898024625517108e+18,4055.0,0.0,5.038140743041145e+18,4171.0,0.0,4.981369557492613e+18,4124.0,0.0,4.701137322444534e+18,3892.0,0.0,4.997072225835829e+18,4137.0,0.0,5.009151201484456e+18,4147.0,0.0,4.922182576814356e+18,4075.0,0.0,4.907687806036009e+18,4063.0,0.0,4.867827186395548e+18,4030.0,0.0,4.948756323241333e+18,4097.0,0.0,4.972914274538573e+18,4117.0,0.0,5.012774894179038e+18,4150.0,0.0,4.907687806036013e+18,4063.0,0.0,4.888361444998206e+18,4047.0,0.0,5.050219718689763e+18,4181.0,0.0,4.820719181365915e+18,3991.0,0.0,4.97412217210344e+18,4118.0,0.0,4.811056000847015e+18,3983.0,0.0,4.954795811065643e+18,4102.0,0.0,4.929429962203534e+18,4081.0,0.0,4.883529854738759e+18,4043.0,0.0,4.922182576814352e+18,4075.0,0.0,4.754284815298481e+18,3936.0,0.0,4.813471795976739e+18,3985.0,0.0,4.937885245157567e+18,4088.0,0.0,4.879906162044173e+18,4040.0,0.0,4.910103601165735e+18,4065.0,0.0,5.14322783118418e+18,4258.0,0.0,4.952380015935789e+18,4100.0,0.0,5.021230177133074e+18,4157.0,0.0,4.823134976495629e+18,3993.0,0.0,4.737374249390401e+18,3922.0,0.0,4.913727293860319e+18,4068.0,0.0,4.877490366914439e+18,4038.0,0.0,5.09128823589509e+18,4215.0,0.0,4.830382361884803e+18,3999.0,0.0,5.50857140654396e+18,11999.0,0.0,1.023599969679831e+19,129950.0,0.0,8.297992149396655e+18,329832.0,8942.0,5.15415711153171e+18,11227.0,31920.0,1.8320280902537142e+19,39906.0,100000.0,
0.0,4.2409283502319524e+18,3511.0,0.0,4.3448075408101166e+18,3597.0,0.0,4.2433441453616753e+18,3513.0,0.0,4.375004979931681e+18,3622.0,0.0,4.3568865164587474e+18,3607.0,0.0,4.361718106718199e+18,3611.0,0.0,4.295283740650761e+18,3556.0,0.0,4.126178081570024e+18,3416.0,0.0,4.4378156533045263e+18,3674.0,0.0,4.209523013545532e+18,3485.0,0.0,4.336352257856079e+18,3590.0,0.0,4.4124498044424156e+18,3653.0,0.0,4.394331340969485e+18,3638.0,0.0,4.2675020966589235e+18,3533.0,0.0,4.349639131069562e+18,3601.0,0.0,4.2952837406507617e+18,3556.0,0.0,4.210730911110392e+18,3486.0,0.0,4.232473067277916e+18,3504.0,0.0,4.4172813947018665e+18,3657.0,0.0,4.3641339018479217e+18,3613.0,0.0,4.474052580250399e+18,3704.0,0.0,4.4462709362585595e+18,3681.0,0.0,4.3399759505506714e+18,3593.0,0.0,4.1696623939050696e+18,3452.0,0.0,4.2747494820481e+18,3539.0,0.0,4.2807889698724137e+18,3544.0,0.0,4.338768052985811e+18,3592.0,0.0,4.32427328220746e+18,3580.0,0.0,4.3254811797722097e+18,3581.0,0.0,4.3218574870777344e+18,3578.0,0.0,4.1491281353024005e+18,3435.0,0.0,4.4257366776558966e+18,3664.0,0.0,4.355678618893882e+18,3606.0,0.0,4.2554231210102943e+18,3523.0,0.0,4.350847028634428e+18,3602.0,0.0,4.347223335939837e+18,3599.0,0.0,4.900741708880471e+18,10675.0,0.0,6.471719669785655e+18,82161.0,0.0,8.033377795945947e+18,319314.0,8712.0,4.963177387794542e+18,10811.0,30911.0,1.774412813020506e+19,38651.0,100000.0,
0.0,3.859232719735428e+18,3195.0,0.0,3.839906358697626e+18,3179.0,0.0,3.795214148797718e+18,3142.0,0.0,3.87010379781919e+18,3204.0,0.0,3.849569539216531e+18,3187.0,0.0,3.7952141487977236e+18,3142.0,0.0,3.8266194854841426e+18,3168.0,0.0,3.8036694317517583e+18,3149.0,0.0,3.996933042129744e+18,3309.0,0.0,3.9172118028488264e+18,3243.0,0.0,3.9123802125893704e+18,3239.0,0.0,3.803669431751757e+18,3149.0,0.0,3.809708919576073e+18,3154.0,0.0,3.851985334346252e+18,3189.0,0.0,3.8362826660030346e+18,3176.0,0.0,3.8616485148651535e+18,3197.0,0.0,3.796422046362582e+18,3143.0,0.0,3.779511480454509e+18,3129.0,0.0,3.806085226881482e+18,3151.0,0.0,3.8821827734678164e+18,3214.0,0.0,3.7626009145464346e+18,3115.0,0.0,3.8169563049652403e+18,3160.0,0.0,3.7734719926301967e+18,3124.0,0.0,3.7662246072410214e+18,3118.0,0.0,3.9304986760623104e+18,3254.0,0.0,3.800045739057171e+18,3146.0,0.0,3.861648514865155e+18,3197.0,0.0,3.917211802848825e+18,3243.0,0.0,3.8386984611326674e+18,3178.0,0.0,4.0114278129080924e+18,3321.0,0.0,3.8036694317517496e+18,3149.0,0.0,3.957072422489279e+18,3276.0,0.0,3.808501022011206e+18,3153.0,0.0,3.7927983536679885e+18,3140.0,0.0,3.761393016981568e+18,3114.0,0.0,3.8386984611327596e+18,3178.0,0.0,4.3975835905729306e+18,9579.0,0.0,5.49167882155507e+18,69719.0,0.0,7.84607470967094e+18,311869.0,7886.0,4.4944507100646164e+18,9790.0,30132.0,1.7270351507857082e+19,37619.0,100000.0,
0.0,3.572960996863035e+18,2958.0,0.0,3.5488030455657836e+18,2938.0,0.0,3.5041108356658755e+18,2901.0,0.0,3.507734528360464e+18,2904.0,0.0,3.49444765514698e+18,2893.0,0.0,3.528268786963129e+18,2921.0,0.0,3.518605606444226e+18,2913.0,0.0,3.5343082747874386e+18,2926.0,0.0,3.4485475476822057e+18,2855.0,0.0,3.5367240699171645e+18,2928.0,0.0,3.591079460335967e+18,2973.0,0.0,3.6695928020520284e+18,3038.0,0.0,3.604366333549462e+18,2984.0,0.0,3.4328448793389926e+18,2842.0,0.0,3.5041108356658703e+18,2901.0,0.0,3.405063235347159e+18,2819.0,0.0,3.558466226084686e+18,2946.0,0.0,3.6333558751061565e+18,3008.0,0.0,3.5826241773819346e+18,2966.0,0.0,3.5282687869631273e+18,2921.0,0.0,3.501695040536152e+18,2899.0,0.0,3.4775370892389007e+18,2879.0,0.0,3.4920318600172534e+18,2891.0,0.0,3.543971455306337e+18,2934.0,0.0,3.5717530992981724e+18,2957.0,0.0,3.4219738012552335e+18,2833.0,0.0,3.482368679498355e+18,2883.0,0.0,3.441300162293032e+18,2849.0,0.0,3.5934952554656026e+18,2975.0,0.0,3.5596741236495483e+18,2947.0,0.0,3.4872002697577964e+18,2887.0,0.0,3.641811158060188e+18,3015.0,0.0,3.499279245406427e+18,2897.0,0.0,3.4304290842092636e+18,2840.0,0.0,3.506526630795598e+18,2903.0,0.0,3.640603260495323e+18,3014.0,0.0,3.9013117603809126e+18,8498.0,0.0,4.801979603816201e+18,60963.0,0.0,7.711100759655437e+18,306504.0,6830.0,3.9146252507375877e+18,8527.0,29947.0,1.7213883945309794e+19,37496.0,100000.0,
0.0,3.31084722528789e+18,2741.0,0.0,3.119999410039625e+18,2583.0,0.0,3.222670703052932e+18,2668.0,0.0,3.239581268961007e+18,2682.0,0.0,3.2866892739906437e+18,2721.0,0.0,3.28427347886092e+18,2719.0,0.0,3.2637392202582554e+18,2702.0,0.0,3.2480365519150454e+18,2689.0,0.0,3.215423317663759e+18,2662.0,0.0,3.158652132115227e+18,2615.0,0.0,3.14778105403146e+18,2606.0,0.0,3.2407891665258696e+18,2683.0,0.0,3.2287101908772495e+18,2673.0,0.0,3.3060156350284385e+18,2737.0,0.0,3.2407891665258634e+18,2683.0,0.0,3.243204961655595e+18,2685.0,0.0,3.2927287618149535e+18,2726.0,0.0,3.13570207838284e+18,2596.0,0.0,3.3736578986607365e+18,2793.0,0.0,3.2999761472041303e+18,2732.0,0.0,3.233541781136695e+18,2677.0,0.0,3.278233991036602e+18,2714.0,0.0,3.3205104058067896e+18,2749.0,0.0,3.175562698023299e+18,2629.0,0.0,3.213007522534034e+18,2660.0,0.0,3.309639327723029e+18,2740.0,0.0,3.351915742493214e+18,2775.0,0.0,3.257699732433944e+18,2697.0,0.0,3.2311259860068864e+18,2675.0,0.0,3.181602185847611e+18,2634.0,0.0,3.121207307604484e+18,2584.0,0.0,3.2323338835718287e+18,2676.0,0.0,3.163483722374675e+18,2619.0,0.0,3.094633561177512e+18,2562.0,0.0,3.248036551915041e+18,2689.0,0.0,3.262531322693387e+18,2701.0,0.0,3.7406317043520445e+18,8148.0,0.0,4.257687507587834e+18,54053.0,0.0,7.642871616609391e+18,303792.0,6195.0,3.503284307303686e+18,7631.0,29796.0,1.7165679928501135e+19,37391.0,100000.0,
